,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
0,0,1,1,Harvard University,93.9,1,29.9,2,17.6,14,39.8,1,6.7,156,466,Massachusetts,"$48,949","$16,660","$92,033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,42.36790855,-71.12678237
1,1,2,2,Massachusetts Institute of Technology,91.8,2,29.2,3,16.5,189,38.8,12,7.2,108,471,Massachusetts,"$49,892","$14,720","$96,033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,42.3583961,-71.09567788
2,2,3,3,Yale University,91.3,3,26.7,13,17.5,26,39.7,4,7.4,99,475,Connecticut,"$51,400","$15,500","$80,200",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,41.25713055,-72.9896696
3,3,4,4,University of Pennsylvania,90.4,4,27.0,10,16.9,104,39.6,5,6.9,141,480,Pennsylvania,"$53,534","$15,066","$82,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39.94933820000001,-75.18964403
4,4,5,=5,California Institute of Technology,90.2,5,29.9,1,14.8,665,39.1,8,6.4,191,128779,California,"$49,908","$14,796","$79,300",1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,34.13701375,-118.1252882
5,5,6,=5,Princeton University,90.2,6,28.0,4,15.4,524,39.8,2,7.0,127,469,New Jersey,"$47,140","$15,610","$77,700",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,40.346995,-74.65763484
6,6,7,=7,Brown University,90.1,7,27.7,5,17.5,17,38.0,15,7.0,118,513,Rhode Island,"$53,419","$14,020","$63,433",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,41.82687235,-71.40122771
7,7,8,=7,Stanford University,90.1,8,25.4,19,17.0,89,39.6,6,8.1,43,467,California,"$49,617","$15,112","$88,567",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,37.43131385,-122.1693654
8,8,9,9,Cornell University,89.8,9,26.6,14,17.1,67,39.5,7,6.6,169,484,New York,"$52,853","$14,330","$74,300",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,42.4505507,-76.47835129999999
9,9,10,10,Duke University,89.7,10,26.2,15,17.1,70,39.7,3,6.7,154,487,North Carolina,"$53,500","$14,798","$79,667",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,36.0001557,-78.94422972
10,10,11,11,Northwestern University,89.0,11,27.1,8,17.2,58,38.3,13,6.4,196,490,Illinois,"$52,678","$16,047","$66,433",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,42.055116399999996,-87.67581113
11,11,12,=12,Dartmouth College,88.8,12,26.8,12,16.9,95,39.0,11,6.1,236,554,New Hampshire,"$52,950","$15,159","$71,100",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,43.705244,-72.29052962
12,12,13,=12,Johns Hopkins University,88.8,13,26.0,16,16.3,234,39.1,9,7.4,97,478,Maryland,"$52,170","$15,410","$69,633",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,39.329901299999996,-76.62051769
13,13,14,14,The University of Chicago,88.6,14,26.9,11,15.4,505,39.0,10,7.3,102,473,Illinois,"$54,825","$15,726","$65,867",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,41.785447,-87.59387932
14,14,15,15,Columbia University,88.4,15,27.0,9,16.5,183,37.1,21,7.9,56,476,New York,"$51,640","$13,644","$78,900",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,40.8079488,-73.96179736
15,15,16,16,Rice University,88.1,16,27.2,7,17.3,43,36.6,22,7.0,129,536,Texas,"$45,608","$13,850","$64,733",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,29.71679145,-95.40478113
16,16,17,17,Vanderbilt University,87.3,17,27.6,6,16.8,132,37.4,20,5.6,307,534,Tennessee,"$47,664","$15,584","$64,733",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,36.14380105,-86.80281889
17,17,18,18,University of Southern California,86.1,18,25.1,21,17.7,10,35.7,27,7.7,68,519,California,"$54,259","$14,886","$70,700",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,34.0218833,-118.28586729999999
18,18,19,19,Washington University in St Louis,86.0,19,26.0,17,17.2,62,36.5,24,6.3,213,505,Missouri,"$51,533","$16,006","$66,400",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,38.64724015,-90.30840173
19,19,20,20,Amherst College,84.6,20,24.0,31,15.1,589,38.1,14,7.4,93,592862,Massachusetts,"$54,310","$14,190","$60,333",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,42.37029465,-72.51605459
20,20,21,21,Williams College,84.3,21,24.5,27,15.2,586,37.6,17,7.0,134,593003,Massachusetts,"$53,550","$14,150","$55,767",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,42.71302360000001,-73.2030082
21,21,22,22,Emory University,84.0,22,25.2,20,16.8,117,34.5,35,7.6,73,539,Georgia,"$49,392","$13,894","$62,300",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,33.7915703,-84.31837262
22,22,23,23,Pomona College,83.9,23,24.8,24,16.6,172,34.3,37,8.2,38,592010,California,"$51,075","$16,150","$55,367",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,34.0974845,-117.7117267
23,23,24,24,Wellesley College,83.4,24,24.5,26,15.8,400,36.0,25,7.2,113,592988,Massachusetts,"$51,148","$15,836","$59,133",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,42.29177605,-71.30327516
24,24,25,=25,"University of California, Los Angeles",83.3,25,19.1,126,17.6,12,37.7,16,8.9,5,477,California,"$41,275","$15,441","$59,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34.0708781,-118.4468497
25,25,26,=25,Carnegie Mellon University,83.3,26,25.0,23,17.6,13,34.0,38,6.6,167,485,Pennsylvania,"$53,910","$13,784","$80,533",1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,40.4441619,-79.94272826
26,26,27,27,University of Michigan-Ann Arbor,83.1,27,22.0,69,17.7,6,37.4,19,6.1,238,482,Michigan,"$49,142","$11,198","$60,300",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,42.294214200000006,-83.71003894
27,27,28,28,Swarthmore College,81.9,28,24.2,29,17.2,59,32.9,44,7.5,91,594371,Pennsylvania,"$50,822","$14,952","$52,567",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,39.9035501,-75.35409206
28,28,29,29,Georgetown University,81.2,29,22.7,60,16.7,142,35.4,29,6.3,208,602,District of Columbia,"$52,300","$15,434","$89,200",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,38.90893925,-77.07457962
29,29,30,30,Tufts University,81.0,30,25.5,18,16.3,249,33.2,43,6.1,243,542,Massachusetts,"$54,318","$14,054","$69,100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,42.40629165,-71.11819856
30,30,31,31,New York University,80.7,31,23.4,45,17.2,57,32.4,46,7.7,67,508,New York,"$50,464","$17,664","$60,100",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,40.72925325,-73.99625394
31,31,32,32,University of Notre Dame,80.3,32,24.0,33,17.7,7,33.8,39,4.8,417,553,Indiana,"$51,495","$14,890","$73,367",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,41.70456775,-86.23822026
32,32,33,33,University of North Carolina at Chapel Hill,79.9,33,20.9,89,17.4,33,36.5,23,5.1,366,507,North Carolina,"$34,588","$11,556","$53,567",0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,35.90503535,-79.04775327
33,33,34,34,"University of California, Berkeley",79.8,34,17.3,200,16.8,113,37.4,18,8.4,28,474,California,"$42,184","$17,549","$62,433",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,37.87094645,-122.2663987
34,34,35,35,Middlebury College,78.3,35,23.6,40,15.5,483,34.3,36,4.9,403,594773,Vermont,"$52,496","$14,968","$56,300",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,44.00366955,-73.17295279
35,35,36,36,"University of California, Davis",78.2,36,17.6,186,16.3,228,35.4,28,8.8,9,503,California,"$42,433","$16,136","$56,967",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38.55981475,-121.77422859999999
36,36,37,37,"University of California, San Diego",77.7,37,17.8,169,15.9,336,35.2,32,8.7,13,497,California,"$42,032","$13,115","$59,167",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,32.87935255,-117.23110049999998
37,37,38,38,Claremont McKenna College,77.6,38,23.7,37,15.9,338,32.0,51,6.0,245,591938,California,"$52,825","$16,220","$71,433",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,34.099957700000004,-117.70390729999998
38,38,39,39,Haverford College,77.5,39,24.2,28,15.4,515,32.1,49,5.7,284,594206,Pennsylvania,"$52,754","$15,958","$57,867",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,40.0071506,-75.30694233
39,39,40,40,Carleton College,77.4,40,23.0,52,16.1,289,32.3,47,6.1,234,593111,Minnesota,"$52,782","$13,632","$52,100",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,44.47183535,-93.14145806
40,40,41,41,Smith College,77.3,41,23.5,43,15.8,398,31.4,53,6.6,180,592973,Massachusetts,"$50,044","$16,730","$45,167",0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,42.31622385,-72.64039315
41,41,42,42,University of Washington-Seattle,76.8,42,17.6,187,16.2,281,35.3,31,7.7,70,658238,Washington,"$35,538","$12,117","$55,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.65432379999999,-122.30800890000002
42,42,43,43,Wesleyan University,76.7,43,23.9,34,16.4,223,30.1,61,6.4,201,592124,Connecticut,"$52,504","$14,466","$50,767",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,41.5559033,-72.65598838
43,43,44,=44,Boston University,76.5,44,23.6,38,17.1,66,29.2,64,6.6,166,518,Massachusetts,"$52,082","$15,270","$62,267",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,42.35031725,-71.10122725
44,44,45,=44,Bowdoin College,76.5,45,23.6,39,16.4,202,31.9,52,4.6,436,592772,Maine,"$51,848","$14,132","$59,833",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,43.90825,-69.96167458
45,45,46,46,Purdue University West Lafayette,76.2,46,20.6,98,17.7,9,32.2,48,5.8,273,562,Indiana,"$28,794","$10,030","$54,800",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,40.43006705,-86.92470982
46,46,47,47,University of Illinois at Urbana-Champaign,75.7,47,15.3,296,17.4,30,35.4,30,7.6,74,495,Illinois,"$34,719","$11,308","$58,567",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.101976,-88.23143780000001
47,47,48,48,Colgate University,75.2,48,23.2,49,16.6,161,30.2,59,5.2,350,593489,New York,"$53,980","$13,520","$61,733",0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,42.815403700000005,-75.53958156
48,48,49,49,University of Miami,74.8,49,21.3,83,17.0,85,28.8,71,7.7,65,636,Florida,"$48,484","$13,666","$57,467",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,25.71727245,-80.27870737
49,49,50,50,University of Virginia (Main campus),74.6,50,17.8,173,16.1,306,35.8,26,4.9,410,601,Virginia,"$47,650","$11,220","$60,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,37.96550575,-78.44844387
50,50,51,51,Barnard College,74.5,51,20.8,91,16.4,200,30.8,55,6.5,183,593471,New York,"$52,662","$16,100","$57,033",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,40.80951685,-73.96352578
51,51,52,52,Case Western Reserve University,74.4,52,24.0,32,15.7,407,28.2,74,6.5,184,557,Ohio,"$47,500","$14,784","$71,033",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,41.50138695,-81.60070216
52,52,53,53,Bryn Mawr College,73.7,53,23.8,35,15.0,619,27.4,77,7.6,71,594140,Pennsylvania,"$50,500","$15,910","$53,767",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,40.02813555,-75.31592059
53,53,54,54,Davidson College,73.4,54,22.2,67,15.6,443,30.7,56,4.9,397,593774,North Carolina,"$49,949","$13,954","$55,100",0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,35.5032193,-80.83393028
54,54,55,55,Lehigh University,73.3,55,24.1,30,16.2,258,27.4,78,5.6,299,787,Pennsylvania,"$50,740","$13,120","$78,600",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,40.6068028,-75.3782488
55,55,56,56,Vassar College,73.2,56,23.3,48,15.9,364,27.3,79,6.7,165,593744,New York,"$55,210","$12,900","$51,767",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,41.686786,-73.89569709999999
56,56,57,57,Grinnell College,73.0,57,23.0,53,14.9,644,28.6,72,6.5,187,592589,Iowa,"$50,714","$12,400","$45,500",0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,41.75111985,-92.71984863
57,57,58,58,University of Rochester,72.9,58,23.6,41,16.6,173,26.7,88,6.0,248,545,New York,"$52,020","$15,398","$58,367",1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,43.1576969,-77.58829158
58,58,59,=59,Boston College,72.8,59,18.8,134,15.7,406,33.3,41,5.0,371,659,Massachusetts,"$53,346","$14,142","$69,733",0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,42.3354481,-71.16813864
59,59,60,=59,Hamilton College,72.8,60,23.0,54,15.6,451,29.2,65,5.1,363,593555,New York,"$52,770","$13,400","$58,133",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,43.0537974,-75.40689908
60,60,61,=61,Mount Holyoke College,72.6,61,22.4,65,15.9,353,27.2,80,7.0,124,592943,Massachusetts,"$47,940","$14,060","$46,267",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,42.25532845,-72.56966884
61,61,62,=61,University of Texas at Austin,72.6,62,16.2,254,17.5,23,32.1,50,6.8,148,493,Texas,"$36,744","$10,070","$55,367",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,30.284458,-97.7342106
62,62,63,=63,Bates College,72.5,63,21.8,74,15.7,404,30.2,58,4.8,414,592769,Maine,"$52,042","$14,678","$55,500",0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,44.1060827,-70.20232209
63,63,64,=63,University of Florida,72.5,64,14.4,346,17.2,53,34.7,34,6.2,221,590,Florida,"$28,659","$9,910","$53,400",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,29.6328784,-82.3490133
64,64,65,65,Scripps College,72.4,65,21.2,85,16.2,273,28.4,73,6.6,179,592031,California,"$52,966","$16,294","$50,533",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,34.103921899999996,-117.7093518
65,65,66,66,University of Richmond,72.0,66,23.8,36,16.7,149,26.5,90,5.0,382,594833,Virginia,"$50,910","$11,820","$61,700",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,37.57586225,-77.54129937
66,66,67,67,University of Wisconsin-Madison,71.0,67,15.7,282,17.5,25,33.5,40,4.3,486,491,Wisconsin,"$34,783","$10,842","$54,000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,43.07982815,-89.43066425
67,67,68,=68,Georgia Institute of Technology,70.9,68,13.4,395,15.7,413,35.1,33,6.6,172,488,Georgia,"$33,014","$11,492","$76,467",1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,33.776033,-84.39884086
68,68,69,=68,Wake Forest University,70.9,69,22.7,61,16.1,307,27.2,82,4.8,422,627,North Carolina,"$51,400","$13,926","$61,267",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,36.134335,-80.2781152
69,69,70,70,Washington and Lee University,70.8,70,23.6,42,16.0,329,28.9,69,2.3,744,594857,Virginia,"$50,170","$11,910","$73,767",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,37.7929993,-79.4477349
70,70,71,71,"University of California, Santa Barbara",70.5,71,13.9,370,16.3,229,32.4,45,8.0,49,499,California,"$42,465","$15,169","$53,067",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,34.41460245,-119.84581000000001
71,71,72,72,George Washington University,69.9,72,20.3,105,16.0,317,27.1,83,6.5,186,600,District of Columbia,"$51,346","$13,000","$67,367",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,38.89949715,-77.04820783
72,72,73,73,"University of California, Irvine",69.7,73,16.4,246,16.6,156,27.5,76,9.2,1,550,California,"$41,752","$14,861","$56,000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,33.6431901,-117.84016489999999
73,73,74,74,Bucknell University,69.4,74,23.3,47,16.6,155,25.6,101,3.8,547,594143,Pennsylvania,"$53,986","$13,150","$68,700",1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,30.3219804,-97.6733752
74,74,75,=75,"University of Maryland, College Park",69.1,75,12.5,450,16.6,167,33.2,42,6.6,175,559,Maryland,"$33,606","$12,402","$61,700",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,38.99203005,-76.94610290000001
75,75,76,=75,Reed College,69.1,76,22.8,57,14.4,734,26.9,86,5.0,381,594104,Oregon,"$54,200","$13,670","$38,433",0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,45.48149925,-122.63101359999999
76,76,77,77,Pitzer College,68.9,77,20.4,102,16.2,268,24.9,118,7.5,89,592004,California,"$52,236","$16,264","$46,967",0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,34.10471765,-117.7050428
77,77,78,78,Texas A&M University-College Station,68.8,78,14.4,352,17.3,46,31.4,54,5.8,278,670581,Texas,"$35,860","$10,368","$55,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.610836499999998,-96.35212800000001
78,78,79,79,William & Mary,68.6,79,18.5,148,15.2,585,30.2,60,4.7,434,611,Virginia,"$43,670","$11,799","$56,300",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,37.27342952,-76.717057
79,79,80,80,United States Naval Academy,68.4,80,24.8,25,15.0,636,24.4,124,4.2,499,661073,Maryland,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9815984,-76.4832158
80,80,81,=81,University of Illinois at Chicago,68.2,81,17.5,190,15.9,349,26.4,92,8.3,32,631,Illinois,"$25,430","$11,930","$52,533",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,41.86898915,-87.64856256
81,81,82,=81,Michigan State University,68.2,82,16.2,252,16.9,99,29.5,62,5.7,290,560,Michigan,"$40,024","$10,026","$51,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,42.719204299999994,-84.47791987
82,82,83,83,Macalester College,68.1,83,21.8,77,15.7,420,25.0,113,5.6,300,593129,Minnesota,"$52,464","$11,672","$46,467",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,44.9376912,-93.16928542
83,83,84,=84,Southern Methodist University,68.0,84,20.2,108,16.6,174,25.9,97,5.3,343,905,Texas,"$52,498","$16,510","$57,533",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,32.84180115,-96.7815281
84,84,85,=84,Tulane University,68.0,85,25.1,22,16.5,197,21.9,197,4.5,465,686,Louisiana,"$52,960","$14,536","$52,900",1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,29.94121955,-90.12010089
85,85,86,86,Ohio State University (Main campus),67.9,86,16.1,258,17.4,34,29.0,66,5.4,330,521,Ohio,"$29,696","$12,292","$44,233",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.00570905,-83.02866259999999
86,86,87,=87,Lafayette College,67.8,87,22.4,64,15.1,598,26.0,96,4.4,473,594236,Pennsylvania,"$50,850","$15,040","$68,300",1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,40.7356737,-75.23869545
87,87,88,=87,Santa Clara University,67.8,88,18.8,137,15.7,430,27.0,85,6.4,199,592028,California,"$49,858","$14,487","$69,933",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,37.3485345,-121.9364432
88,88,89,=87,Trinity College,67.8,89,22.3,66,14.4,737,26.1,95,4.9,409,592121,Connecticut,"$54,770","$14,200","$59,867",1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,38.9275815,-77.0049153
89,89,90,90,Loyola Marymount University,67.7,90,20.1,110,16.4,212,23.7,138,7.6,76,591977,California,"$46,136","$13,255","$57,067",0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,33.9725576,-118.4181729
90,90,91,=91,Franklin & Marshall College,67.5,91,21.6,79,15.6,446,25.8,98,4.5,453,594191,Pennsylvania,"$54,370","$13,580","$55,067",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,40.0489875,-76.32009869
91,91,92,=91,Kenyon College,67.5,92,22.5,62,15.5,479,25.5,105,4.0,517,593930,Ohio,"$53,560","$12,280","$45,900",0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,40.37264735,-82.39428987
92,92,93,=93,Northeastern University,67.4,93,18.0,163,16.8,125,26.4,93,6.3,211,681,Massachusetts,"$49,497","$15,880","$64,367",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,42.3390301,-71.08791295
